booking_id,start_day,length_of_stay,price_per_night,show_probability,segment,notes
1,5,2,100,0.801,DIS,DIS synthetic booking
2,11,2,140,0.839,GRP,GRP synthetic booking
3,2,1,310,0.979,VIP,VIP synthetic booking
4,7,1,120,0.83,BUS,BUS synthetic booking
5,4,4,190,0.851,BUS,BUS synthetic booking
6,6,2,100,0.849,GRP,GRP synthetic booking
7,3,5,90,0.864,DIS,DIS synthetic booking
8,4,1,130,0.838,RET,RET synthetic booking
9,1,2,150,0.841,BUS,BUS synthetic booking
10,1,3,150,0.798,GRP,GRP synthetic booking
11,2,1,150,0.854,RET,RET synthetic booking
12,2,3,140,0.909,RET,RET synthetic booking
13,13,2,130,0.797,RET,RET synthetic booking
14,11,4,190,0.87,BUS,BUS synthetic booking
15,9,3,160,0.867,RET,RET synthetic booking
16,7,2,150,0.874,RET,RET synthetic booking
17,10,1,120,0.797,GRP,GRP synthetic booking
18,1,1,210,0.812,BUS,BUS synthetic booking
19,12,1,130,0.859,GRP,GRP synthetic booking
20,1,1,120,0.796,RET,RET synthetic booking
21,7,2,170,0.827,RET,RET synthetic booking
22,13,2,110,0.874,RET,RET synthetic booking
23,4,1,130,0.841,RET,RET synthetic booking
24,7,2,130,0.841,RET,RET synthetic booking
25,2,2,210,0.875,BUS,BUS synthetic booking
26,11,4,150,0.844,RET,RET synthetic booking
27,2,1,120,0.816,RET,RET synthetic booking
28,7,2,100,0.837,RET,RET synthetic booking
29,6,1,120,0.776,DIS,DIS synthetic booking
30,6,2,160,0.834,RET,RET synthetic booking
31,12,3,110,0.902,RET,RET synthetic booking
32,13,1,90,0.83,RET,RET synthetic booking
33,13,2,110,0.853,RET,RET synthetic booking
34,12,2,170,0.857,RET,RET synthetic booking
35,2,2,100,0.785,GRP,GRP synthetic booking
36,6,2,130,0.833,BUS,BUS synthetic booking
37,3,1,100,0.811,DIS,DIS synthetic booking
38,13,1,70,0.798,DIS,DIS synthetic booking
39,4,2,110,0.883,RET,RET synthetic booking
40,12,1,180,0.924,VIP,VIP synthetic booking
41,2,3,100,0.802,GRP,GRP synthetic booking
42,10,3,90,0.895,RET,RET synthetic booking
43,13,2,120,0.833,RET,RET synthetic booking
44,3,1,110,0.867,RET,RET synthetic booking
45,2,5,110,0.863,RET,RET synthetic booking
46,13,2,90,0.793,DIS,DIS synthetic booking
47,2,4,210,0.858,BUS,BUS synthetic booking
48,12,3,100,0.875,RET,RET synthetic booking
49,11,3,80,0.801,DIS,DIS synthetic booking
50,1,3,100,0.854,RET,RET synthetic booking
